constraint_name,category,cluster,is_system_boundary,primary_variables,description,shadow_price_interpretation,notes
constraint_capex_pwa,investment,capex,no,"cost_capex_overnight, capacity_addition","Piecewise-linear CAPEX approximation for economies of scale","—","Active only if pwa_capex enabled"
constraint_storage_technology_capex,investment,capex,no,"cost_capex_overnight, capacity, capacity_energy, capex_specific_storage, capex_specific_storage_energy","CAPEX for storage = power_capex * power_capacity + energy_capex * energy_capacity","—","Separate power and energy cost terms for storage"
constraint_transport_technology_capex,investment,capex,no,"cost_capex_overnight, capacity, capex_per_distance","CAPEX for transport = capex_per_distance * distance * capacity","—","Distance-weighted investment cost"
constraint_cost_capex_yearly,cost,cost_accounting,no,"cost_capex_yearly, cost_capex_overnight, annuity_factor","Annualizes overnight CAPEX: cost_capex_yearly = annuity_factor * cost_capex_overnight","—","Converts lump-sum to annual payment"
constraint_cost_capex_yearly_total,cost,cost_accounting,no,"cost_capex_yearly_total, cost_capex_yearly","Sums capex_yearly over all technologies to total","—","Aggregation constraint"
constraint_cost_opex_yearly,cost,cost_accounting,no,"cost_opex_yearly, opex_specific_fixed, capacity, flow","cost_opex_yearly = fixed_opex * capacity + variable_opex * flow","—","—"
constraint_cost_opex_yearly_total,cost,cost_accounting,no,"cost_opex_yearly_total, cost_opex_yearly","Sums opex_yearly over all technologies","—","—"
constraint_cost_carrier,cost,cost_accounting,no,"cost_carrier, flow_import, carrier_price","Cost of carrier imports = flow * carrier_price","—","—"
constraint_cost_carrier_total,cost,cost_accounting,no,"cost_carrier_total, cost_carrier","Sums carrier costs over all carriers and nodes","—","—"
constraint_cost_shed_demand,cost,cost_accounting,no,"cost_shed_demand, shed_demand, price_shed_demand","Cost of unmet demand = shed_demand * price_shed_demand","—","High penalty price discourages shedding"
constraint_cost_total,cost,cost_accounting,no,"cost_total, cost_capex_yearly_total, cost_opex_yearly_total, cost_carrier_total, cost_shed_demand, cost_carbon","cost_total = sum of all cost components","—","—"
constraint_net_present_cost,cost,cost_accounting,no,"net_present_cost, cost_total, discount_factor","Discounts annual cost to present value","—","Objective function contribution"
constraint_opex_technology_conversion,cost,cost_accounting,no,"cost_opex_technology, flow_conversion, opex_specific_variable","Variable OPEX for conversion = sum(flow * opex_var) over time steps","—","—"
constraint_opex_technology_storage,cost,cost_accounting,no,"cost_opex_technology, flow_storage, opex_specific_variable","Variable OPEX for storage","—","—"
constraint_opex_technology_transport,cost,cost_accounting,no,"cost_opex_technology, flow_transport, opex_specific_variable","Variable OPEX for transport","—","—"
constraint_cost_carbon_emissions_total,cost,cost_accounting,no,"cost_carbon, carbon_emissions_annual, price_carbon","Carbon cost = emissions * carbon_price (if price_carbon > 0)","—","Only relevant if explicit carbon price is set"
constraint_carbon_emissions_technology_conversion,emissions,emissions_tracking,no,"carbon_emissions_tech, flow_conversion, carbon_intensity","Emissions from conversion = flow * carbon_intensity","—","—"
constraint_carbon_emissions_technology_storage,emissions,emissions_tracking,no,"carbon_emissions_tech, flow_storage, carbon_intensity","Emissions from storage operations","—","Usually negligible"
constraint_carbon_emissions_technology_transport,emissions,emissions_tracking,no,"carbon_emissions_tech, flow_transport, carbon_intensity","Emissions from transport (e.g., gas leakage)","—","—"
constraint_carbon_emissions_technology_total,emissions,emissions_tracking,no,"carbon_emissions_tech_total, carbon_emissions_tech","Sums emissions across all technologies","—","—"
constraint_carbon_emissions_carrier,emissions,emissions_tracking,no,"carbon_emissions_carrier, flow_import_carrier, carbon_intensity_carrier","Emissions from imported carriers (e.g., imported gas)","—","—"
constraint_carbon_emissions_carrier_total,emissions,emissions_tracking,no,"carbon_emissions_carrier_total, carbon_emissions_carrier","Sums carrier emissions","—","—"
constraint_carbon_emissions_annual,emissions,emissions_tracking,no,"carbon_emissions_annual, carbon_emissions_tech_total, carbon_emissions_carrier_total","Total annual emissions = tech emissions + carrier emissions","—","Tracking constraint; shadow price = effective carbon price if limit binds"
constraint_carbon_emissions_cumulative,emissions,emissions_tracking,no,"carbon_emissions_cumulative, carbon_emissions_annual","Cumulative emissions = sum of annual emissions over years","—","—"
constraint_carbon_emissions_annual_limit,boundary,CO2_cap,yes,"carbon_emissions_annual, carbon_emissions_annual_limit_param","Annual emissions <= annual limit (e.g., net-zero in 2050)","Euro/tCO2 — marginal cost of tightening the annual cap by 1 tonne","In Crystal Ball: limit=0 in 2050 only; unconstrained in other years unless budget binds"
constraint_carbon_emissions_annual_overshoot,boundary,CO2_cap,yes,"carbon_emissions_overshoot, carbon_emissions_annual","Penalty variable for exceeding annual limit; overshoot * 5000 Euro/tCO2 added to cost","—","Soft constraint; shadow price reflects penalty price"
constraint_carbon_emissions_budget,boundary,CO2_cap,yes,"carbon_emissions_cumulative, carbon_budget_param","Cumulative emissions <= 23.15 Gt CO2 over 2022-2050","Euro/tCO2 — marginal cost of tightening cumulative budget by 1 tonne","Most binding CO2 constraint in Crystal Ball; drives technology choice across all years"
constraint_carbon_emissions_budget_overshoot,boundary,CO2_cap,yes,"carbon_emissions_budget_overshoot","Penalty for exceeding cumulative budget; 5000 Euro/tCO2","—","Soft constraint"
constraint_technology_capacity_limit_not_reached,boundary,capacity_limit,yes,"capacity_addition, capacity_limit_param","Limits new investment to remaining headroom below capacity limit","Euro/GW — value of 1 GW more installable potential (e.g., more wind area)","Binding in regions with scarce land/resource; wind_onshore most relevant in Crystal Ball"
constraint_technology_capacity_limit_reached,boundary,capacity_limit,yes,"capacity, capacity_limit_param","Prevents any further addition once total capacity hits the limit","Euro/GW","Hard stop; shadow price can be very large"
constraint_technology_min_capacity_addition,boundary,capacity_limit,yes,"capacity_addition","Minimum capacity addition when technology is built (lumpiness constraint)","—","Boundary only if set to non-zero; reflects minimum viable plant size"
constraint_technology_max_capacity_addition,boundary,capacity_limit,yes,"capacity_addition","Maximum capacity addition per year per technology","Euro/GW — value of faster deployment","Limits build rate; related to supply chain constraints"
constraint_availability_import,boundary,import_availability,yes,"flow_import, availability_import_param","Hourly import of carrier from outside system <= availability limit","Euro/GWh — marginal value of additional import capacity","Biomass import limits are key in Crystal Ball; also LNG"
constraint_availability_export,boundary,import_availability,yes,"flow_export, availability_export_param","Hourly export of carrier outside system <= availability limit","Euro/GWh","Shadow price = value of additional export capacity"
constraint_availability_import_yearly,boundary,import_availability,yes,"flow_import_yearly, availability_import_yearly_param","Annual import of carrier <= yearly availability limit","Euro/GWh — annual marginal import value","More aggregate than hourly constraint"
constraint_availability_export_yearly,boundary,import_availability,yes,"flow_export_yearly, availability_export_yearly_param","Annual export <= yearly limit","Euro/GWh","—"
constraint_technology_diffusion_limit,boundary,diffusion_limit,yes,"capacity_addition, capacity, diffusion_rate_param","Capacity addition in year y <= diffusion_rate * (existing_capacity + market_share_base)","Euro/GW — value of relaxing the deployment speed limit","Limits how fast a technology can scale; reflects supply chain and learning constraints"
constraint_technology_diffusion_limit_total,boundary,diffusion_limit,yes,"capacity_addition_total, capacity_total","Global version of diffusion limit across all nodes","Euro/GW","Aggregate deployment growth cap"
constraint_capacity_energy_to_power_ratio_min,technical,storage_design,no,"capacity, capacity_energy","Energy capacity >= min_ratio * power capacity","—","Design constraint for storage technology sizing"
constraint_capacity_energy_to_power_ratio_max,technical,storage_design,no,"capacity, capacity_energy","Energy capacity <= max_ratio * power capacity","—","—"
